Time_s	Pulse	Resp
0.000	2926.000	1110.000
0.004	2969.000	1106.926
0.008	3008.000	1103.912
0.012	3044.000	1100.956
0.016	3075.000	1098.053
0.020	3103.000	1095.200
0.024	3128.000	1092.393
0.028	3151.000	1089.627
0.032	3171.000	1086.900
0.036	3188.000	1084.207
0.040	3203.000	1081.545
0.044	3215.000	1078.909
0.048	3225.000	1076.297
0.052	3234.000	1073.703
0.056	3239.000	1071.125
0.060	3240.000	1068.559
0.064	3240.000	1066.000
0.068	3236.000	1063.445
0.072	3231.000	1060.890
0.076	3226.000	1058.332
0.078	3219.000	1057.050
0.082	3210.000	1054.479
0.086	3199.000	1051.894
0.090	3185.000	1049.293
0.094	3169.000	1046.670
0.098	3151.000	1044.023
0.102	3130.000	1041.348
0.106	3110.000	1038.640
0.110	3089.000	1035.896
0.114	3068.000	1033.112
0.118	3044.000	1030.285
0.122	3020.000	1027.410
0.126	2995.000	1024.484
0.130	2968.000	1021.502
0.134	2939.000	1018.468
0.138	2908.000	1015.388
0.142	2876.000	1012.269
0.146	2845.000	1009.118
0.150	2810.000	1005.944
0.154	2776.000	1002.752
0.158	2743.000	999.552
0.162	2708.000	996.349
0.166	2673.000	993.151
0.170	2639.000	989.966
0.174	2604.000	986.801
0.178	2569.000	983.663
0.182	2536.000	980.560
0.186	2505.000	977.498
0.190	2473.000	974.486
0.194	2443.000	971.529
0.198	2414.000	968.630
0.202	2384.000	965.781
0.206	2358.000	962.975
0.210	2333.000	960.208
0.214	2309.000	957.472
0.218	2286.000	954.760
0.222	2268.000	952.067
0.226	2248.000	949.385
0.230	2231.000	946.709
0.234	2214.000	944.032
0.238	2195.000	941.347
0.242	2179.000	938.648
0.246	2160.000	935.929
0.250	2144.000	933.183
0.254	2128.000	930.404
0.258	2111.000	927.586
0.262	2096.000	924.731
0.266	2080.000	921.851
0.270	2063.000	918.960
0.274	2045.000	916.069
0.278	2028.000	913.192
0.282	2009.000	910.339
0.286	1993.000	907.524
0.290	1975.000	904.759
0.294	1960.000	902.056
0.298	1945.000	899.429
0.302	1929.000	896.888
0.306	1913.000	894.447
0.310	1898.000	892.119
0.314	1880.000	889.914
0.318	1865.000	887.834
0.322	1846.000	885.871
0.326	1829.000	884.015
0.330	1810.000	882.257
0.334	1790.000	880.587
0.338	1773.000	878.996
0.342	1754.000	877.474
0.346	1735.000	876.011
0.350	1718.000	874.600
0.354	1700.000	873.229
0.358	1684.000	871.889
0.362	1669.000	870.572
0.366	1655.000	869.268
0.370	1643.000	867.966
0.374	1631.000	866.659
0.378	1620.000	865.336
0.382	1610.000	863.992
0.386	1600.000	862.625
0.390	1589.000	861.233
0.394	1579.000	859.814
0.398	1568.000	858.367
0.402	1556.000	856.890
0.406	1545.000	855.381
0.410	1530.000	853.837
0.414	1516.000	852.258
0.418	1503.000	850.642
0.422	1488.000	848.986
0.426	1474.000	847.289
0.430	1460.000	845.549
0.434	1448.000	843.765
0.438	1435.000	841.934
0.442	1424.000	840.054
0.446	1414.000	838.130
0.450	1404.000	836.168
0.454	1396.000	834.177
0.458	1390.000	832.164
0.462	1386.000	830.137
0.466	1383.000	828.105
0.470	1379.000	826.074
0.474	1376.000	824.053
0.478	1374.000	822.049
0.482	1371.000	820.071
0.486	1368.000	818.127
0.490	1363.000	816.223
0.494	1359.000	814.369
0.498	1354.000	812.572
0.502	1349.000	810.839
0.506	1344.000	809.179
0.510	1341.000	807.589
0.514	1335.000	806.058
0.518	1331.000	804.573
0.522	1326.000	803.122
0.526	1323.000	801.694
0.530	1318.000	800.275
0.534	1315.000	798.855
0.538	1313.000	797.421
0.542	1313.000	795.961
0.546	1311.000	794.463
0.550	1313.000	792.914
0.554	1314.000	791.303
0.558	1315.000	789.618
0.562	1318.000	787.846
0.566	1321.000	785.976
0.570	1325.000	783.995
0.574	1330.000	781.906
0.578	1333.000	779.721
0.582	1336.000	777.455
0.586	1340.000	775.121
0.590	1343.000	772.734
0.594	1344.000	770.308
0.598	1346.000	767.856
0.602	1349.000	765.394
0.606	1350.000	762.935
0.610	1353.000	760.493
0.614	1356.000	758.082
0.618	1363.000	755.717
0.622	1370.000	753.411
0.626	1379.000	751.179
0.630	1394.000	749.035
0.634	1410.000	746.992
0.638	1434.000	745.052
0.642	1460.000	743.208
0.646	1495.000	741.450
0.650	1534.000	739.768
0.654	1579.000	738.155
0.658	1631.000	736.600
0.662	1685.000	735.094
0.666	1745.000	733.628
0.670	1809.000	732.194
0.674	1876.000	730.782
0.678	1946.000	729.383
0.682	2018.000	727.987
0.686	2091.000	726.586
0.690	2166.000	725.170
0.694	2239.000	723.731
0.698	2311.000	722.260
0.702	2381.000	720.753
0.706	2449.000	719.217
0.710	2515.000	717.655
0.714	2576.000	716.074
0.718	2636.000	714.476
0.722	2694.000	712.868
0.726	2748.000	711.255
0.730	2798.000	709.641
0.734	2844.000	708.030
0.738	2888.000	706.429
0.742	2926.000	704.842
0.746	2963.000	703.273
0.750	2996.000	701.728
0.754	3028.000	700.211
0.758	3055.000	698.728
0.762	3080.000	697.282
0.766	3101.000	695.877
0.770	3120.000	694.509
0.774	3136.000	693.179
0.778	3149.000	691.883
0.782	3159.000	690.621
0.786	3166.000	689.391
0.790	3171.000	688.192
0.794	3176.000	687.021
0.798	3176.000	685.877
0.802	3175.000	684.760
0.806	3174.000	683.666
0.810	3166.000	682.595
